learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1580.0,7.25,0.0,1580.0,71.89999999999999,37.81700052224867,1580.0,0.0,0.0,0.0
1590.0,7.34375,0.0,1590.0,72.1,38.29617834394904,1590.0,0.0,0.0,0.0
1600.0,7.4375,0.0,1600.0,72.0,38.04350231230501,1600.0,0.0,0.0,0.0
1610.0,7.515625,0.0,1610.0,71.8,37.69002333309764,1610.0,0.0,0.0,0.0
1620.0,7.609375,0.0,1620.0,71.8,37.7032376643574,1620.0,0.0,0.0,0.0
1630.0,7.703125,0.0,1630.0,71.39999999999999,37.108577862219406,1630.0,0.0,0.0,0.0
1640.0,7.78125,0.0,1640.0,71.5,37.24844332103255,1640.0,0.0,0.0,0.0
1650.0,7.875,0.0,1650.0,71.5,37.59032978583629,1650.0,0.0,0.0,0.0
1660.0,7.96875,0.0,1660.0,72.0,38.54905541119461,1660.0,0.0,0.0,0.0
1670.0,8.046875,0.0,1670.0,71.8,38.19394826701968,1670.0,0.0,0.0,0.0
1680.0,8.140625,0.0,1680.0,71.8,38.30050716107944,1680.0,0.0,0.0,0.0
1690.0,8.234375,0.0,1690.0,71.7,38.028292383830426,1690.0,0.0,0.0,0.0
1700.0,8.328125,0.0,1700.0,71.7,38.07656624713357,1700.0,0.0,0.0,0.0
1710.0,8.421875,0.0,1710.0,71.89999999999999,38.456012475250986,1710.0,0.0,0.0,0.0
1720.0,8.515625,0.0,1720.0,71.89999999999999,38.53893263342083,1720.0,0.0,0.0,0.0
1730.0,8.609375,0.0,1730.0,72.0,38.64600497843845,1730.0,0.0,0.0,0.0
1740.0,8.71875,0.0,1740.0,71.89999999999999,38.64628820960698,1740.0,0.0,0.0,0.0
1750.0,8.8125,0.0,1750.0,71.89999999999999,38.56419495045781,1750.0,0.0,0.0,0.0
1760.0,8.890625,0.0,1760.0,71.89999999999999,38.61626647093775,1760.0,0.0,0.0,0.0
1770.0,9.0,0.0,1770.0,72.1,39.106901217861974,1770.0,0.0,0.0,0.0
1780.0,9.109375,0.0,1780.0,72.1,39.07977710622391,1780.0,0.0,0.0,0.0
1790.0,9.203125,0.0,1790.0,72.1,38.97103858605302,1790.0,0.0,0.0,0.0
1800.0,9.296875,0.0,1800.0,72.1,38.88815875936391,1800.0,0.0,0.0,0.0
1810.0,9.390625,0.0,1810.0,72.0,38.69758643640313,1810.0,0.0,0.0,0.0
1820.0,9.484375,0.0,1820.0,72.0,38.86249301285635,1820.0,0.0,0.0,0.0
1830.0,9.59375,0.0,1830.0,71.89999999999999,38.58782596532943,1830.0,0.0,0.0,0.0
1840.0,9.703125,0.0,1840.0,71.8,38.45294269139606,1840.0,0.0,0.0,0.0
1850.0,9.796875,0.0,1850.0,72.3,39.32464164300985,1850.0,0.0,0.0,0.0
1860.0,9.90625,0.0,1860.0,72.3,39.48952753772621,1860.0,0.0,0.0,0.0
1870.0,10.03125,0.0,1870.0,72.0,39.26905975490728,1870.0,0.0,0.0,0.0
1880.0,10.125,0.0,1880.0,71.89999999999999,39.32196069963291,1880.0,0.0,0.0,0.0
1890.0,10.234375,0.0,1890.0,72.2,39.78095865247981,1890.0,0.0,0.0,0.0
1900.0,10.328125,0.0,1900.0,72.0,39.561388361250216,1900.0,0.0,0.0,0.0
1910.0,10.421875,0.0,1910.0,72.0,39.43667455431881,1910.0,0.0,0.0,0.0
1920.0,10.53125,0.0,1920.0,72.0,39.19916615999305,1920.0,0.0,0.0,0.0
1930.0,10.640625,0.0,1930.0,71.7,38.62289734625361,1930.0,0.0,0.0,0.0
1940.0,10.75,0.0,1940.0,71.6,38.51083638253188,1940.0,0.0,0.0,0.0
1950.0,10.84375,0.0,1950.0,71.6,38.54090924829473,1950.0,0.0,0.0,0.0
1960.0,10.9375,0.0,1960.0,71.89999999999999,39.027036410189645,1960.0,0.0,0.0,0.0
1970.0,11.046875,0.0,1970.0,71.8,38.964209651446666,1970.0,0.0,0.0,0.0
1980.0,11.15625,0.0,1980.0,71.89999999999999,39.23378342141912,1980.0,0.0,0.0,0.0
