learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),IBLStreams size,sigmaForKernel,kValue
1490.0,5.03125,0.0,1490.0,56.699999999999996,18.36288358132413,1490.0,0.0,1382.0,0.5,17.0
1500.0,5.125,0.0,1500.0,56.8,18.430543229923902,1500.0,0.0,1390.0,0.5,17.0
1510.0,5.21875,0.0,1510.0,57.099999999999994,18.706890017433484,1510.0,0.0,1400.0,0.5,17.0
1520.0,5.3125,0.0,1520.0,57.699999999999996,19.663612744427724,1520.0,0.0,1404.0,0.5,17.0
1530.0,5.375,0.0,1530.0,57.699999999999996,19.54197892494388,1530.0,0.0,1413.0,0.5,17.0
1540.0,5.484375,0.0,1540.0,58.4,20.64067394381512,1540.0,0.0,1419.0,0.5,17.0
1550.0,5.59375,0.0,1550.0,58.699999999999996,21.040355452230365,1550.0,0.0,1425.0,0.5,17.0
1560.0,5.6875,0.0,1560.0,58.8,21.043755557599713,1560.0,0.0,1433.0,0.5,17.0
1570.0,5.78125,0.0,1570.0,59.0,21.17112786812122,1570.0,0.0,1442.0,0.5,17.0
1580.0,5.890625,0.0,1580.0,59.099999999999994,21.18306341583739,1580.0,0.0,1451.0,0.5,17.0
1590.0,5.984375,0.0,1590.0,59.599999999999994,21.89463508941518,1590.0,0.0,1458.0,0.5,17.0
1600.0,6.09375,0.0,1600.0,59.9,22.16312745059979,1600.0,0.0,1467.0,0.5,17.0
1610.0,6.203125,0.0,1610.0,60.099999999999994,22.2906912428036,1610.0,0.0,1476.0,0.5,17.0
1620.0,6.28125,0.0,1620.0,60.8,23.377638780297097,1620.0,0.0,1482.0,0.5,17.0
1630.0,6.390625,0.0,1630.0,61.4,24.225767950248127,1630.0,0.0,1490.0,0.5,17.0
1640.0,6.5,0.0,1640.0,61.4,24.046846960299717,1640.0,0.0,1490.0,0.5,18.0
1650.0,6.609375,0.0,1650.0,61.9,24.760061613807817,1650.0,0.0,1494.0,0.5,18.0
1660.0,6.6875,0.0,1660.0,62.2,25.071360608943866,1660.0,0.0,1504.0,0.5,18.0
1670.0,6.78125,0.0,1670.0,62.9,26.193242404468993,1670.0,0.0,1512.0,0.5,18.0
1680.0,6.875,0.0,1680.0,63.4,27.022726638299915,1680.0,0.0,1520.0,0.5,18.0
1690.0,7.0,0.0,1690.0,63.7,27.36804193845292,1690.0,0.0,1525.0,0.5,18.0
1700.0,7.109375,0.0,1700.0,63.9,27.581004958996015,1700.0,0.0,1535.0,0.5,18.0
1710.0,7.21875,0.0,1710.0,64.4,28.36676217765043,1710.0,0.0,1543.0,0.5,18.0
1720.0,7.328125,0.0,1720.0,64.9,29.13271363155472,1720.0,0.0,1550.0,0.5,18.0
1730.0,7.4375,0.0,1730.0,65.3,29.657979663655677,1730.0,0.0,1556.0,0.5,18.0
1740.0,7.5625,0.0,1740.0,65.8,30.46095036701165,1740.0,0.0,1565.0,0.5,18.0
1750.0,7.671875,0.0,1750.0,65.8,30.179003070490634,1750.0,0.0,1575.0,0.5,18.0
1760.0,7.796875,0.0,1760.0,66.2,30.846536598140634,1760.0,0.0,1581.0,0.5,18.0
1770.0,7.921875,0.0,1770.0,66.4,31.05599238332869,1770.0,0.0,1590.0,0.5,18.0
1780.0,8.046875,0.0,1780.0,66.60000000000001,31.245445525395972,1780.0,0.0,1598.0,0.5,17.0
1790.0,8.15625,0.0,1790.0,67.0,31.794225244404036,1790.0,0.0,1602.0,0.5,17.0
1800.0,8.265625,0.0,1800.0,67.30000000000001,32.15486119756009,1800.0,0.0,1610.0,0.5,17.0
1810.0,8.390625,0.0,1810.0,67.80000000000001,32.92672765751806,1810.0,0.0,1618.0,0.5,17.0
1820.0,8.5,0.0,1820.0,68.5,34.236897484717915,1820.0,0.0,1628.0,0.5,17.0
1830.0,8.640625,0.0,1830.0,68.7,34.48483732145549,1830.0,0.0,1636.0,0.5,17.0
1840.0,8.734375,0.0,1840.0,68.8,34.559640917003996,1840.0,0.0,1641.0,0.5,17.0
1850.0,8.859375,0.0,1850.0,69.39999999999999,35.47135434239826,1850.0,0.0,1649.0,0.5,17.0
1860.0,8.96875,0.0,1860.0,69.89999999999999,36.455527313567686,1860.0,0.0,1657.0,0.5,17.0
1870.0,9.078125,0.0,1870.0,70.19999999999999,37.177189838726676,1870.0,0.0,1665.0,0.5,17.0
1880.0,9.203125,0.0,1880.0,70.6,38.032206390692174,1880.0,0.0,1674.0,0.5,17.0
1890.0,9.3125,0.0,1890.0,70.6,37.735081833892444,1890.0,0.0,1678.0,0.5,17.0
